WIDTH,HEIGHT,TOTAL ACTUAL WEIGHT,TOTAL BLANK WEIGHT
960,750,5.80,6.41
990,750,5.92,6.62
1020,750,6.12,6.82
1050,750,6.32,7.03
1080,750,6.52,7.23
1110,750,6.73,7.44
1140,750,6.84,7.64
1170,750,7.04,7.85
1200,750,7.25,8.05
600,780,3.71,4.11
630,780,3.92,4.32
660,780,4.13,4.54
690,780,4.25,4.75
720,780,4.47,4.96
750,780,4.68,5.18
780,780,4.89,5.39
810,780,5.10,5.61
840,780,5.22,5.82
870,780,5.43,6.03
900,780,5.64,6.25
930,780,5.85,6.46
960,780,6.06,6.68
990,780,6.19,6.89
1020,780,6.40,7.10
1050,780,6.61,7.32
1080,780,6.82,7.53
1110,780,7.03,7.74
1140,780,7.15,7.96
1170,780,7.36,8.17
1200,780,7.58,8.39
600,810,3.87,4.27
630,810,4.09,4.49
660,810,4.31,4.72
690,810,4.44,4.94
720,810,4.66,5.16
750,810,4.88,5.38
780,810,5.10,5.61
810,810,5.32,5.83
840,810,5.45,6.05
870,810,5.67,6.27
900,810,5.89,6.50
930,810,6.11,6.72
960,810,6.33,6.94
990,810,6.46,7.16
1020,810,6.68,7.38
1050,810,6.90,7.61
1080,810,7.12,7.83
1110,810,7.34,8.05
1140,810,7.47,8.27
1170,810,7.69,8.50
1200,810,7.90,8.72
600,840,3.98,4.44
630,840,4.21,4.67
660,840,4.43,4.90
690,840,4.56,5.13
720,840,4.78,5.36
750,840,5.01,5.59
780,840,5.24,5.82
810,840,5.47,6.05
840,840,5.59,6.28
870,840,5.82,6.51
900,840,6.04,6.74
930,840,6.27,6.97
960,840,6.50,7.20
990,840,6.62,7.44
1020,840,6.85,7.67
1050,840,7.08,7.90
1080,840,7.31,8.13
1110,840,7.53,8.36
1140,840,7.66,8.59
1170,840,7.88,8.82
1200,840,8.11,9.05
600,870,4.14,4.60
630,870,4.37,4.84
660,870,4.61,5.08
690,870,4.74,5.32
720,870,4.98,5.56
750,870,5.21,5.79
780,870,5.45,6.03
810,870,5.69,6.27
840,870,5.82,6.51
870,870,6.05,6.75
900,870,6.29,6.99
930,870,6.53,7.23
960,870,6.76,7.47
990,870,6.89,7.71
1020,870,7.13,7.95
1050,870,7.36,8.19
1080,870,7.60,8.43
1110,870,7.84,8.67
1140,870,7.97,8.90
1170,870,8.20,9.14
1200,870,8.44,9.38
600,900,4.30,4.76
630,900,4.54,5.01
660,900,4.79,5.26
690,900,4.93,5.50
720,900,5.17,5.75
750,900,5.42,6.00
780,900,5.66,6.25
810,900,5.91,6.50
840,900,6.04,6.74
870,900,6.29,6.99
900,900,6.53,7.24
930,900,6.78,7.49
960,900,7.02,7.73
990,900,7.16,7.98
1020,900,7.41,8.23
1050,900,7.65,8.48
1080,900,7.90,8.72
1110,900,8.14,8.97
1140,900,8.28,9.22
1170,900,8.53,9.47
1200,900,8.77,9.72
600,930,4.46,4.92
630,930,4.71,5.18
660,930,4.96,5.44
690,930,5.11,5.69
720,930,5.36,5.95
750,930,5.62,6.21
780,930,5.87,6.46
810,930,6.12,6.72
